OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths
65,Roraima,Brazil,-2.7376,-62.0751,174921,2173
66,Santa Catarina,Brazil,-27.2423,-50.2189,1868495,22384
67,Sao Paulo,Brazil,-23.5505,-46.6333,6051911,174325
68,Sergipe,Brazil,-10.5741,-37.3857,342852,6433
69,Tocantins,Brazil,-10.1753,-48.2982,343933,4199
70,,Brunei,4.5353,114.7277,223059,225
71,,Bulgaria,42.7339,25.4858,1248035,37646
72,,Burkina Faso,12.2383,-1.5616,21128,387
73,,Burma,21.9162,95.956,616663,19442
74,,Burundi,-3.3731,29.9189,49370,38
75,,Cabo Verde,16.5388,-23.0418,62341,410
76,,Cambodia,11.55,104.9167,137705,3056
77,,Cameroon,3.848,11.5021,121652,1935
78,Alberta,Canada,53.9333,-116.5765,603501,4832
79,British Columbia,Canada,53.7267,-127.6476,383054,4183
80,Diamond Princess,Canada,,,0,1
81,Grand Princess,Canada,,,13,0
82,Manitoba,Canada,53.7609,-98.8139,148903,2118
83,New Brunswick,Canada,46.5653,-66.4619,75741,472
84,Newfoundland and Labrador,Canada,53.1355,-57.6604,51329,231
85,Northwest Territories,Canada,64.8255,-124.8457,11511,22
86,Nova Scotia,Canada,44.682,-63.7443,122458,504
87,Nunavut,Canada,70.2998,-83.1076,3531,7
88,Ontario,Canada,51.2538,-85.3232,1442991,14193
89,Prince Edward Island,Canada,46.5107,-63.4168,50594,56
90,Quebec,Canada,52.9399,-73.5491,1185085,16479
91,Repatriated Travellers,Canada,,,13,0
92,Saskatchewan,Canada,52.9399,-106.4509,141815,1479
93,Yukon,Canada,64.2823,-135,4857,30
94,,Central African Republic,6.6111,20.9394,14883,113
95,,Chad,15.4542,18.7322,7549,193
96,Antofagasta,Chile,-23.6509,-70.3975,164080,1868
97,Araucania,Chile,-38.9489,-72.3311,262062,2705
98,Arica y Parinacota,Chile,-18.594,-69.4785,71886,855
99,Atacama,Chile,-27.5661,-70.0503,100140,670
100,Aysen,Chile,-45.9864,-73.7669,31242,196
101,Biobio,Chile,-37.4464,-72.1416,445125,4500
102,Coquimbo,Chile,-29.959,-71.3389,184536,1821
103,Los Lagos,Chile,-41.9198,-72.1416,223851,2415
104,Los Rios,Chile,-40.231,-72.3311,129541,1303
105,Magallanes,Chile,-52.368,-70.9863,61701,744
106,Maule,Chile,-35.5183,-71.6885,304106,3097
107,Metropolitana,Chile,-33.4376,-70.6505,1730530,29539
108,Nuble,Chile,-36.7226,-71.7622,131162,1188
109,OHiggins,Chile,-34.5755,-71.0022,194717,2667
110,Tarapaca,Chile,-19.9232,-69.5132,102046,1131
111,Unknown,Chile,,,42,2
112,Valparaiso,Chile,-33.0472,-71.6127,423034,6048
113,Anhui,China,31.8257,117.2264,1506,6
114,Beijing,China,40.1824,116.4142,4088,9
115,Chongqing,China,30.0572,107.874,1012,6
116,Fujian,China,26.0789,117.9874,4176,1
117,Gansu,China,35.7518,104.2861,1348,2
118,Guangdong,China,23.3417,113.4244,9642,8
119,Guangxi,China,23.8298,108.7881,2300,2
120,Guizhou,China,26.8154,106.8748,220,2
121,Hainan,China,19.1959,109.7453,8944,6
122,Hebei,China,37.8957,114.9042,2027,7
123,Heilongjiang,China,47.862,127.7615,3224,13
124,Henan,China,33.882,113.614,3316,22
125,Hong Kong,China,22.3,114.2,1642941,9788
126,Hubei,China,30.9756,112.2707,68427,4512
127,Hunan,China,27.6104,111.7088,1442,4
128,Inner Mongolia,China,44.0935,113.9448,2694,1
129,Jiangsu,China,32.9711,119.455,2367,0
130,Jiangxi,China,27.614,115.7221,1489,1
131,Jilin,China,43.6661,126.1923,40329,5
132,Liaoning,China,41.2956,122.6085,1867,2
133,Macau,China,22.1667,113.55,793,6
134,Ningxia,China,37.2692,106.1655,122,0
135,Qinghai,China,35.7452,95.9956,231,0
136,Shaanxi,China,35.1917,108.8701,3712,3
137,Shandong,China,36.3427,118.1498,3038,7
138,Shanghai,China,31.202,121.4491,63928,595
139,Shanxi,China,37.5777,112.2922,469,0
140,Sichuan,China,30.6171,102.7103,4642,3
141,Tianjin,China,39.3054,117.323,2244,3
142,Tibet,China,31.6927,88.0924,1191,0
143,Unknown,China,,,725051,0
144,Xinjiang,China,41.1129,85.2401,1151,3
145,Yunnan,China,24.974,101.487,2312,2
146,Zhejiang,China,29.1832,120.0934,3394,1
147,Amazonas,Colombia,-1.4429,-71.5724,7810,265
148,Antioquia,Colombia,7.1986,-75.3412,942940,18479
149,Arauca,Colombia,7.0762,-70.7105,16947,551
150,Atlantico,Colombia,10.6966,-74.8741,415772,10199
151,Bolivar,Colombia,8.6704,-74.03,202788,3265
152,Boyaca,Colombia,5.4545,-73.362,129252,2860
153,Caldas,Colombia,5.2983,-75.2479,119300,2563
154,Capital District,Colombia,4.711,-74.0721,1852256,29795
155,Caqueta,Colombia,0.8699,-73.8419,25581,1037
156,Casanare,Colombia,5.7589,-71.5724,42801,1022
157,Cauca,Colombia,2.705,-76.826,76115,1843
158,Cesar,Colombia,9.3373,-73.6536,108666,2681
159,Choco,Colombia,5.2528,-76.826,18828,429
160,Cordoba,Colombia,8.0493,-75.574,121918,3950
161,Cundinamarca,Colombia,5.026,-74.03,327597,7354
162,Guainia,Colombia,2.5854,-68.5247,2792,37
163,Guaviare,Colombia,1.0654,-73.2603,5655,105
164,Huila,Colombia,2.5359,-75.5277,102994,3579
165,La Guajira,Colombia,11.3548,-72.5205,57849,1543
166,Magdalena,Colombia,10.4113,-74.4057,117366,3643
167,Meta,Colombia,3.272,-73.0877,107310,2587
168,Narino,Colombia,1.2892,-77.3579,107617,3376
169,Norte de Santander,Colombia,7.9463,-72.8988,124246,5166
170,Putumayo,Colombia,0.436,-75.5277,21751,785
171,Quindio,Colombia,4.461,-75.6674,72681,2076
172,Risaralda,Colombia,5.3158,-75.9928,109436,2496
173,San Andres y Providencia,Colombia,12.5567,-81.7185,10333,156
174,Santander,Colombia,6.6437,-73.6536,293238,8291
175,Sucre,Colombia,8.814,-74.7233,66906,1738
176,Tolima,Colombia,4.0925,-75.1545,126837,4067
177,Unknown,Colombia,,,0,362
178,Valle del Cauca,Colombia,3.8009,-76.6413,563327,15322
179,Vaupes,Colombia,0.8554,-70.812,1949,22
180,Vichada,Colombia,4.4234,-69.2878,3459,64
181,,Comoros,-11.6455,43.3333,8455,161
182,,Congo (Brazzaville),-0.228,15.8277,24837,386
183,,Congo (Kinshasa),-4.0383,21.7587,92751,1422
184,,Costa Rica,9.7489,-83.7534,1097629,8893
185,,Cote d'Ivoire,7.54,-5.5471,86919,822
186,,Croatia,45.1,15.2,1220015,16792
187,,Cuba,21.521757,-77.781167,1110858,8530
188,,Cyprus,35.1264,33.4299,579899,1173
189,,Czechia,49.8175,15.473,4059173,40906
190,,Denmark,56.2639,9.5018,3280052,6968
191,Faroe Islands,Denmark,61.8926,-6.9118,34658,28
192,Greenland,Denmark,71.7069,-42.6043,11971,21
193,,Diamond Princess,,,712,13
194,,Djibouti,11.8251,42.5903,15690,189
195,,Dominica,15.415,-61.371,14852,68
196,,Dominican Republic,18.7357,-70.1627,641677,4384
197,,Ecuador,-1.8312,-78.1834,998202,35876
198,,Egypt,26.820553,30.802498,515645,24796
199,,El Salvador,13.7942,-88.8965,201785,4227
200,,Equatorial Guinea,1.6508,10.2679,16965,183
201,,Eritrea,15.1794,39.7823,10163,103
202,,Estonia,58.5953,25.0136,598636,2657
203,,Eswatini,-26.5225,31.4659,73368,1422
204,,Ethiopia,9.145,40.4897,493340,7572
205,,Fiji,-17.7134,178.065,68207,878
206,,Finland,61.92411,25.748151,1271516,5768
207,,France,46.2276,2.2137,33718369,150991
208,French Guiana,France,4,-53,93735,408
209,French Polynesia,France,-17.6797,-149.4068,76520,649
210,Guadeloupe,France,16.265,-61.551,191997,986
211,Martinique,France,14.6415,-61.0242,215582,1022
212,Mayotte,France,-12.8275,45.166244,40095,187
213,New Caledonia,France,-20.904305,165.618042,74125,314
214,Reunion,France,-21.1151,55.5364,467390,874
215,Saint Barthelemy,France,17.9,-62.8333,5263,6
216,Saint Pierre and Miquelon,France,46.8852,-56.3159,3131,1
217,St Martin,France,18.0708,-63.0501,11941,63
218,Wallis and Futuna,France,-14.2938,-178.1165,761,7
219,,Gabon,-0.8037,11.6094,48668,306
220,,Gambia,13.4432,-15.3101,12311,371
221,,Georgia,42.3154,43.3569,1735682,16889
222,Baden-Wurttemberg,Germany,48.6616,9.3501,4415508,17048
223,Bayern,Germany,48.7904,11.4979,5884399,25556
224,Berlin,Germany,52.52,13.405,1240822,4776
225,Brandenburg,Germany,52.4125,12.5316,930612,5874
226,Bremen,Germany,53.0793,8.8017,252747,828
227,Hamburg,Germany,53.5511,9.9937,716984,3008
228,Hessen,Germany,50.6521,9.1624,2434830,10979
229,Mecklenburg-Vorpommern,Germany,53.6127,12.4296,589732,2429
230,Niedersachsen,Germany,52.6367,9.8451,3131987,10607
231,Nordrhein-Westfalen,Germany,51.4332,7.6616,6660471,27189
232,Rheinland-Pfalz,Germany,50.1183,7.309,1461613,6105
233,Saarland,Germany,49.3964,7.023,400976,1835
234,Sachsen,Germany,51.1045,13.2017,1725817,15948
235,Sachsen-Anhalt,Germany,51.9503,11.6923,826885,5681
236,Schleswig-Holstein,Germany,54.2194,9.6961,991109,2849
237,Thuringen,Germany,51.011,10.8453,787758,7587
238,Unknown,Germany,,,0,0
239,,Ghana,7.9465,-1.0232,168616,1459
240,,Greece,39.0742,21.8243,4804982,32757
241,,Grenada,12.1165,-61.679,19403,236
242,,Guatemala,15.7835,-90.2308,1110973,19650
243,,Guinea,9.9456,-9.6966,37652,449
244,,Guinea-Bissau,11.8037,-15.1804,8796,175
245,,Guyana,4.860416,-58.93018,71186,1279
246,,Haiti,18.9712,-72.2852,33658,851
247,,Holy See,41.9029,12.4534,29,0
248,,Honduras,15.2,-86.2419,455011,10989
249,,Hungary,47.1625,19.5033,2058847,47367
250,,Iceland,64.9631,-19.0208,205009,213
251,Andaman and Nicobar Islands,India,11.225999,92.968178,10624,129
252,Andhra Pradesh,India,15.9129,79.74,2337564,14733
253,Arunachal Pradesh,India,27.768456,96.384277,66772,296
254,Assam,India,26.357149,92.830441,745049,8034
255,Bihar,India,25.679658,85.60484,849405,12297
256,Chandigarh,India,30.733839,76.768278,99038,1181
257,Chhattisgarh,India,21.264705,82.035366,1174791,14117
258,Dadra and Nagar Haveli and Daman and Diu,India,20.194742,73.080901,11582,4
259,Delhi,India,28.646519,77.10898,2001569,26491
260,Goa,India,15.359682,74.057396,257018,3964
261,Gujarat,India,22.694884,71.590923,1272157,11018
262,Haryana,India,29.20004,76.332824,1053666,10693
263,Himachal Pradesh,India,31.927213,77.233081,311626,4204
264,Jammu and Kashmir,India,33.75943,76.612638,478685,4784
265,Jharkhand,India,23.654536,85.557631,442111,5330
266,Karnataka,India,14.70518,76.166436,4058178,40258
267,Kerala,India,10.450898,76.405749,6769332,70904
268,Ladakh,India,34.1526,77.5771,29270,230
269,Lakshadweep,India,13.6999972,72.1833326,11415,52
270,Madhya Pradesh,India,23.541513,78.289633,1053856,10770
271,Maharashtra,India,19.449759,76.108221,8110131,148285
272,Manipur,India,24.738975,93.882541,139755,2148
273,Meghalaya,India,25.536934,91.278882,96558,1619
274,Mizoram,India,23.309381,92.83822,237746,722
275,Nagaland,India,26.06702,94.470302,35932,780
276,Odisha,India,20.505428,84.418059,1329995,9184
277,Puducherry,India,11.882658,78.86498,173301,1969
278,Punjab,India,30.841465,75.40879,783859,17905
279,Rajasthan,India,26.583423,73.847973,1311056,9629
280,Sikkim,India,27.571671,88.472712,43906,494
281,Tamil Nadu,India,11.006091,78.400624,3573236,38038
282,Telangana,India,18.1124,79.0193,835853,4111
283,Tripura,India,23.746783,91.743565,107743,938
284,Unknown,India,,,0,0
285,Uttar Pradesh,India,26.925425,80.560982,2124707,23614
286,Uttarakhand,India,30.156447,79.197608,448783,7743
287,West Bengal,India,23.814082,87.979803,2109090,21482
288,,Indonesia,-0.7893,113.9213,6390553,157757
289,,Iran,32.427908,53.688046,7538125,144154
290,,Iraq,33.223191,43.679291,2458509,25348
